matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -920 0.081152 0.0745232 36.8773 82.9691758110647 3.18147 3.24324 53.8282 39.3764 0.0617761 0 0.0617761 0.0926641 0.0926641 0.0617761 0 0 0
mat: -919 0.0821512 0.0754746 36.8754 82.92033514436882 3.22124 3.28378 53.5448 39.5749 0.0625483 0 0.0625483 0.0938224 0.0938224 0.0625483 0 0 0
mat: -918 0.0831503 0.076427 36.8734 82.87158358759186 3.261 3.32432 53.2614 39.7734 0.0633205 0 0.0633205 0.0949807 0.0949807 0.0633205 0 0 0
mat: -917 0.0841495 0.0773801 36.8714 82.82285457066256 3.30077 3.36486 52.978 39.9718 0.0640927 0 0.0640927 0.096139 0.096139 0.0640927 0 0 0
mat: -916 0.0851486 0.0783341 36.8694 82.77421070795761 3.34054 3.40541 52.6946 40.1703 0.0648649 0 0.0648649 0.0972973 0.0972973 0.0648649 0 0 0
mat: -915 0.0861478 0.0792889 36.8675 82.72561259809295 3.38031 3.44595 52.4112 40.3687 0.0656371 0 0.0656371 0.0984556 0.0984556 0.0656371 0 0 0
mat: -914 0.087147 0.0802445 36.8655 82.67709962469134 3.42008 3.48649 52.1278 40.5672 0.0664093 0 0.0664093 0.0996139 0.0996139 0.0664093 0 0 0
mat: -913 0.0881461 0.081201 36.8635 82.62863166033135 3.45985 3.52703 51.8444 40.7656 0.0671815 0 0.0671815 0.100772 0.100772 0.0671815 0 0 0
mat: -912 0.0891453 0.0821582 36.8615 82.58027294186648 3.49961 3.56757 51.561 40.9641 0.0679537 0 0.0679537 0.101931 0.101931 0.0679537 0 0 0
mat: -911 0.0901444 0.0831163 36.8596 82.5319347319225 3.53938 3.60811 51.2776 41.1625 0.0687259 0 0.0687259 0.103089 0.103089 0.0687259 0 0 0
mat: -910 0.0911436 0.0840753 36.8576 82.48368127851124 3.57915 3.64865 50.9942 41.361 0.0694981 0 0.0694981 0.104247 0.104247 0.0694981 0 0 0
mat: -909 0.0921427 0.085035 36.8556 82.43549251975368 3.61892 3.68919 50.7108 41.5595 0.0702703 0 0.0702703 0.105405 0.105405 0.0702703 0 0 0
mat: -908 0.0931419 0.0859956 36.8537 82.38734959856197 3.65869 3.72973 50.4274 41.7579 0.0710425 0 0.0710425 0.106564 0.106564 0.0710425 0 0 0
mat: -907 0.094141 0.086957 36.8517 82.33928983651793 3.69846 3.77027 50.144 41.9564 0.0718147 0 0.0718147 0.107722 0.107722 0.0718147 0 0 0
mat: -906 0.0951402 0.0879192 36.8497 82.29129722904932 3.73822 3.81081 49.8606 42.1548 0.0725869 0 0.0725869 0.10888 0.10888 0.0725869 0 0 0
mat: -905 0.0961393 0.0888823 36.8477 82.24336726120866 3.77799 3.85135 49.5772 42.3533 0.0733591 0 0.0733591 0.110039 0.110039 0.0733591 0 0 0
mat: -904 0.0971385 0.0898462 36.8458 82.19547991183637 3.81776 3.89189 49.2938 42.5517 0.0741313 0 0.0741313 0.111197 0.111197 0.0741313 0 0 0
mat: -903 0.0981376 0.0908109 36.8438 82.14767666124861 3.85753 3.93243 49.0104 42.7502 0.0749035 0 0.0749035 0.112355 0.112355 0.0749035 0 0 0
mat: -902 0.0991368 0.0917764 36.8418 82.09993857086715 3.8973 3.97297 48.727 42.9487 0.0756757 0 0.0756757 0.113514 0.113514 0.0756757 0 0 0
mat: -901 0.100136 0.0927428 36.8399 82.05224265994997 3.93707 4.01351 48.4436 43.1471 0.0764479 0 0.0764479 0.114672 0.114672 0.0764479 0 0 0
mat: -900 0.101135 0.09371 36.8379 82.0046533103403 3.97683 4.05405 48.1602 43.3456 0.0772201 0 0.0772201 0.11583 0.11583 0.0772201 0 0 0
mat: -899 0.102134 0.094678 36.8359 81.95708438848442 4.0166 4.09459 47.8768 43.544 0.0779923 0 0.0779923 0.116988 0.116988 0.0779923 0 0 0
mat: -898 0.103133 0.0956468 36.8339 81.90960032385047 4.05637 4.13514 47.5934 43.7425 0.0787645 0 0.0787645 0.118147 0.118147 0.0787645 0 0 0
mat: -897 0.104133 0.0966165 36.832 81.86215795129085 4.09614 4.17568 47.31 43.9409 0.0795367 0 0.0795367 0.119305 0.119305 0.0795367 0 0 0
mat: -896 0.105132 0.097587 36.83 81.81479902926007 4.13591 4.21622 47.0266 44.1394 0.0803089 0 0.0803089 0.120463 0.120463 0.0803089 0 0 0
mat: -895 0.106131 0.0985583 36.828 81.76748403822909 4.17568 4.25676 46.7432 44.3378 0.0810811 0 0.0810811 0.121622 0.121622 0.0810811 0 0 0
mat: -894 0.10713 0.0995305 36.826 81.72027356210994 4.21544 4.2973 46.4598 44.5363 0.0818533 0 0.0818533 0.12278 0.12278 0.0818533 0 0 0
